,ano,senioridade,contrato,cargo,salario,moeda,usd,residencia,remoto,empresa,tamanho_empresa,residencia_iso3
0,2025,senior,integral,Solutions Engineer,214000,USD,214000,US,remoto,US,media,USA
1,2025,senior,integral,Solutions Engineer,136000,USD,136000,US,remoto,US,media,USA
2,2025,pleno,integral,Data Engineer,158800,USD,158800,AU,presencial,AU,media,AUS
3,2025,pleno,integral,Data Engineer,139200,USD,139200,AU,presencial,AU,media,AUS
4,2025,junior,integral,Data Engineer,90000,USD,90000,US,presencial,US,media,USA
5,2025,junior,integral,Data Engineer,80000,USD,80000,US,presencial,US,media,USA
6,2025,senior,integral,Data Scientist,185000,USD,185000,US,presencial,US,media,USA
7,2025,senior,integral,Data Scientist,148000,USD,148000,US,presencial,US,media,USA
8,2025,pleno,integral,Data Scientist,135000,USD,135000,CA,presencial,CA,media,CAN
9,2025,pleno,integral,Data Scientist,108000,USD,108000,CA,presencial,CA,media,CAN
10,2025,pleno,integral,BI Developer,118000,USD,118000,US,remoto,US,media,USA
11,2025,pleno,integral,BI Developer,51000,USD,51000,US,remoto,US,media,USA
12,2025,junior,integral,Data Analyst,91900,USD,91900,US,presencial,US,media,USA
13,2025,junior,integral,Data Analyst,54300,USD,54300,US,presencial,US,media,USA
14,2025,senior,integral,Applied Scientist,255000,USD,255000,US,presencial,US,media,USA
15,2025,senior,integral,Applied Scientist,190000,USD,190000,US,presencial,US,media,USA
16,2025,pleno,integral,Systems Engineer,196350,USD,196350,US,presencial,US,media,USA
17,2025,pleno,integral,Systems Engineer,130900,USD,130900,US,presencial,US,media,USA
18,2025,executivo,integral,Director,170000,USD,170000,US,presencial,US,media,USA
19,2025,executivo,integral,Director,160000,USD,160000,US,presencial,US,media,USA
20,2025,pleno,integral,Associate,119000,USD,119000,CA,presencial,CA,media,CAN
21,2025,pleno,integral,Associate,105000,USD,105000,CA,presencial,CA,media,CAN
22,2025,pleno,integral,Associate,120000,USD,120000,US,presencial,US,media,USA
23,2025,pleno,integral,Associate,110000,USD,110000,US,presencial,US,media,USA
24,2025,pleno,integral,Associate,120000,USD,120000,US,presencial,US,media,USA
25,2025,pleno,integral,Associate,110000,USD,110000,US,presencial,US,media,USA
26,2025,pleno,integral,Associate,120000,USD,120000,US,presencial,US,media,USA
27,2025,pleno,integral,Associate,110000,USD,110000,US,presencial,US,media,USA
28,2025,senior,integral,Software Engineer,190000,USD,190000,US,presencial,US,media,USA
29,2025,senior,integral,Software Engineer,150000,USD,150000,US,presencial,US,media,USA
30,2025,senior,integral,Consultant,180000,USD,180000,US,presencial,US,media,USA
31,2025,senior,integral,Consultant,130000,USD,130000,US,presencial,US,media,USA
32,2025,pleno,integral,Software Engineer,98348,USD,98348,US,presencial,US,media,USA
33,2025,pleno,integral,Software Engineer,88651,USD,88651,US,presencial,US,media,USA
34,2025,junior,integral,Analyst,122058,USD,122058,AU,presencial,AU,media,AUS
35,2025,junior,integral,Analyst,110266,USD,110266,AU,presencial,AU,media,AUS
36,2025,senior,integral,Product Manager,160000,USD,160000,US,presencial,US,media,USA
37,2025,senior,integral,Product Manager,100000,USD,100000,US,presencial,US,media,USA
38,2025,senior,integral,Software Developer,199100,USD,199100,JP,presencial,JP,media,JPN
